stars,comment,topic,title
3,Ο λόγος που δεν παίρνει 5 αστέρια είναι ότι σε πρώτη μεταφορά χωρίς υπερβολικά πράγματα έσπασε και ούτε κατάλαβα πως. Θεωρώ πως είναι υπερβολικά ευαίσθητη και λεπτή. Έχω αλλη hp οθονη χρόνια και δεν έχει πάθει τίποτα.,Οθόνες Υπολογιστών,"HP E24d G4 IPS Monitor 23.8"" FHD 1920x1080 με Χρόνο Απόκρισης 5ms GTG Κωδικός: 51455117"
4,,Οθόνες Υπολογιστών,"Viewsonic VP2458 IPS Monitor 23.8"" FHD 1920x1080 με Χρόνο Απόκρισης 7ms GTG Κωδικός: 18200795"
5,Την έχω εδώ και πέντε μήνες αξίζει πάρα πολύ τα χρήματα της το μονό κακό είναι το MENU που έχει,Οθόνες Υπολογιστών,"Asus VY279HE-W IPS Monitor 27"" FHD 1920x1080 Κωδικός: 36705708"
5,Πήγα από κατάστημα και την είδα είναι ακριβώς όπως μου την περιγράψαμε απλά τέλια σε όλα θα ήθελα λίγο μεγαλύτερη αλλά είναι 27 ιντσεσ απλά ουαου είναι πολύ ελαφριά αυτό με φοβίζει λίγο αλά η μεταλλική βάση της απλά την φτάνει σε άλλο επίπεδο... Ανυπομονώ για άλλη μια να έχω διό!!!,Οθόνες Υπολογιστών,"Asus VY279HE-W IPS Monitor 27"" FHD 1920x1080 Κωδικός: 36705708"
5,,Οθόνες Υπολογιστών,"Asus VY279HE-W IPS Monitor 27"" FHD 1920x1080 Κωδικός: 36705708"
5,"• Εξαιρετική ποιότητα κατασκευής! 
• Πολύ καλή ακρίβεια στα χρώματα
• Ξεκούραστη οθόνη
• Αυτόματη ρύθμιση φωτεινότητας
• Μηδαμινό πλαίσιο
• Μηδέν τρεμοπαιγμα (flicker-free) ακομα και σε χαμηλη φωτεινότητα!
• Χωρίς λογότυπο στο μπροστινό μέρος (σημαντικό για εμένα τουλάχιστον). 
• Τα κουμπιά για το μενού είναι ηλεκτρομαγνητικά, με αποτέλεσμα να μην χρειάζεται πολύ προσπάθεια για τυχόν ρυθμίσεις. 
• Πέρα από το on/off στο μπροστινό μερος υπάρχει και δεύτερος διακόπτης on/off που κλείνει την κατανάλωση ρεύματος τελείως, αν και σε standby mode καταναλώνει μόνο 0.5w.
• Πολύ καλή συνδεσιμότητα: 
  • USB-C
  • 3x USB-2
  • Audio jack
  • Ethernet
  • HDMI, DisplayPort
  • Εάν έχετε laptop με USB-C δεν χρειάζεστε κάποιο άλλο καλώδιο καθώς το σήμα, το usb hub και η φόρτιση του λάπτοπ σας μπορεί να γίνουν από εκεί. Επίσης υποστηρίζει daisy-chain οπότε εάν η σύνδεση είναι μέσω USC-C μπορείτε με μόνο άλλο ένα USB-C να συνδέσετε δεύτερη οθόνη άπλα και εύκολα!
• Έχει ενσωματωμένο KVM, οπότε μπορείτε να συνδέσετε δυο υπολογιστές οπου να μοιράζουν την οθόνη πανεύκολα!
• Έχει ηχεία αλλά δεν θα τα κρίνω καθώς δεν την αγόρασα για αυτό το λόγο...
• To 5ms input-lag (grey-to-grey) μπορεί να ενεργοποιηθεί στα User 1/2 settings στην επιλογή Overdrive > Enhanced.

Επίσης να τονίσω ότι την οθόνη την αγόρασα από το site της eizo.gr,  οπου πραγματικά το προσωπικό είναι άψογο, ευγενέστατο, και ευπρόσδεκτο να ακούσει τυχών ερωτήσεις ή να επιλύσει προβλήματα που προκύπτουν με την οθόνη. Στην περίπτωση μου το πάνελ προεξείχε λίγο προς τα έξω στο κάτω αριστερό μέρος. Μέσα σε 20' αφού έχει στείλει το email με φωτογραφίες, με πήραν τηλέφωνο και μου πρότειναν λύσεις, όπου βεβαίως μέσα σε αυτές ήταν και η άμεση αντικατάσταση της οθόνης. Ένα μεγάλο μπράβο τους!

Τέλος το Made in Japan τα λέει όλα!

_
Update (17/02/2021): Είχα κάνει αναφορά για το panel που προεξεχει λιγο στο κατω μερος της οθονης, οταν εγινε η αντικατάσταση της οθονης η καινούργια ειχε το ιδιο θεμα, καταλήξαμε να μην κανω την αντικατάσταση καθώς δεν είχε νόημα, η οθόνη παραμενει μια χαρά. Δυστηχως το ίδιο θέμα αναφέρετε και σε reviews στην αμαζον, προσθεσα μια ακομα φωτο για να δειτε το πανελ που προεξεχει ελαχιστα... Για τα χρηματα της (και το made in Japan) η αληθεια ειναι θα περιμενα να μην ειχε αυτο το θεματακι...",Οθόνες Υπολογιστών,"Eizo FlexScan EV2495 IPS Monitor 24.1"" FHD 1920x1200 με Χρόνο Απόκρισης 5ms GTG Κωδικός: 25308222"
5,"Μια πολύ ιδιαίτερη οθόνη για επαγγελματίες με πολλές απαιτήσεις. Ουσιαστικά είναι ένα dock station όπου μπορείς να χτίσεις επάνω της το επαγγελματικό σου σύστημα πχ δυο υπολογιστές,περιφερειακές συσκευές κλπ.
Τα ηχεία που έχει απλώς δικαιολογούν την ύπαρξη τους... μικρά αδύναμα αλλά με καθαρό ήχο και μέχρι εκεί.
Έρχεται συναρμολογημένη (made Japan)!
Με λίγα λόγια... απίστευτη, θα την έχω για πολλά πολλά χρόνια να κοσμεί το γραφείο μου!",Οθόνες Υπολογιστών,"Eizo FlexScan EV2495 IPS Monitor 24.1"" FHD 1920x1200 με Χρόνο Απόκρισης 5ms GTG Κωδικός: 25308222"
5,"Φανταστική τηλεόραση ωραίες διαστάσεις ωραία χρώματα το μόνο άσχημών των τηλεκοντρόλ...
Αλλά πραγματικά δεν έχω πάρει ποτέ μου τηλεόραση με όμορφο τηλεκοντρόλ....
Αυτοί που σχεδιάζουν το στη τηλεοράσεις δεν σχεδιάζουνε τηλεκοντρόλ.....",Οθόνες Υπολογιστών,"LG 28TN515V-WZ TN TV Monitor 27.5"" 1366x768 με Χρόνο Απόκρισης 5ms GTG Κωδικός: 25005395"
5,Για τηλεόραση για απλή χρήση για το δωμάτιο της μαμάς είναι ότι πρέπει... και επειδή την δουλεύει σχεδόν όλη μέρα όλο αυτό το διάστημα δεν υπήρξε κανένα πρόβλημα.. όλες τηλεοράσεις το σπίτι μας είναι lg και δεν είχαμε ποτέ κανένα θέμα...,Οθόνες Υπολογιστών,"LG 28TN515V-WZ TN TV Monitor 27.5"" 1366x768 με Χρόνο Απόκρισης 5ms GTG Κωδικός: 25005395"
1,Καθόλου καλά ανάλυση εικονας.Η τηλεόραση που εχω στο σαλόνι η οποία είναι απο το 2011 έχει πολυ καλύτερη ανάλυση.,Οθόνες Υπολογιστών,"LG 28TN515V-WZ TN TV Monitor 27.5"" 1366x768 με Χρόνο Απόκρισης 5ms GTG Κωδικός: 25005395"
